"Datum";"+A/84121509 [kW]";"Status";
"01.01.2024 00:15:00";0,185;"namìøená data OK";
"01.01.2024 00:30:00";0,174;"namìøená data OK";
"01.01.2024 00:45:00";0,186;"namìøená data OK";
"01.01.2024 01:00:00";0,173;"namìøená data OK";
"01.01.2024 01:15:00";0,187;"namìøená data OK";
"01.01.2024 01:30:00";0,17;"namìøená data OK";
"01.01.2024 01:45:00";0,189;"namìøená data OK";
"01.01.2024 02:00:00";0,156;"namìøená data OK";
"01.01.2024 02:15:00";0,197;"namìøená data OK";
"01.01.2024 02:30:00";0,16;"namìøená data OK";
"01.01.2024 02:45:00";0,66;"namìøená data OK";
"01.01.2024 03:00:00";0,461;"namìøená data OK";
"01.01.2024 03:15:00";0,201;"namìøená data OK";
"01.01.2024 03:30:00";0,157;"namìøená data OK";
"01.01.2024 03:45:00";0,58;"namìøená data OK";
"01.01.2024 04:00:00";0,476;"namìøená data OK";
"01.01.2024 04:15:00";0,188;"namìøená data OK";
"01.01.2024 04:30:00";0,156;"namìøená data OK";
"01.01.2024 04:45:00";0,199;"namìøená data OK";
"01.01.2024 05:00:00";0,261;"namìøená data OK";
"01.01.2024 05:15:00";0,379;"namìøená data OK";
"01.01.2024 05:30:00";0,158;"namìøená data OK";
"01.01.2024 05:45:00";0,201;"namìøená data OK";
"01.01.2024 06:00:00";0,16;"namìøená data OK";
"01.01.2024 06:15:00";0,705;"namìøená data OK";
"01.01.2024 06:30:00";2,757;"namìøená data OK";
"01.01.2024 06:45:00";3,517;"namìøená data OK";
"01.01.2024 07:00:00";3,582;"namìøená data OK";
"01.01.2024 07:15:00";3,715;"namìøená data OK";
"01.01.2024 07:30:00";3,014;"namìøená data OK";
"01.01.2024 07:45:00";3,216;"namìøená data OK";
"01.01.2024 08:00:00";2,283;"namìøená data OK";
"01.01.2024 08:15:00";2,028;"namìøená data OK";
"01.01.2024 08:30:00";2,009;"namìøená data OK";
"01.01.2024 08:45:00";2,029;"namìøená data OK";
"01.01.2024 09:00:00";2,021;"namìøená data OK";
"01.01.2024 09:15:00";2,521;"namìøená data OK";
"01.01.2024 09:30:00";2,136;"namìøená data OK";
"01.01.2024 09:45:00";1,987;"namìøená data OK";
"01.01.2024 10:00:00";2,682;"namìøená data OK";
"01.01.2024 10:15:00";3,18;"namìøená data OK";
"01.01.2024 10:30:00";3,381;"namìøená data OK";
"01.01.2024 10:45:00";2,176;"namìøená data OK";
"01.01.2024 11:00:00";0,528;"namìøená data OK";
"01.01.2024 11:15:00";0,02;"namìøená data OK";
"01.01.2024 11:30:00";0,062;"namìøená data OK";
"01.01.2024 11:45:00";0,178;"namìøená data OK";
"01.01.2024 12:00:00";0,009;"namìøená data OK";
"01.01.2024 12:15:00";0,095;"namìøená data OK";
"01.01.2024 12:30:00";0,481;"namìøená data OK";
"01.01.2024 12:45:00";1,315;"namìøená data OK";
"01.01.2024 13:00:00";1,532;"namìøená data OK";
"01.01.2024 13:15:00";1,479;"namìøená data OK";
"01.01.2024 13:30:00";2,061;"namìøená data OK";
"01.01.2024 13:45:00";2,854;"namìøená data OK";
"01.01.2024 14:00:00";2,837;"namìøená data OK";
"01.01.2024 14:15:00";1,747;"namìøená data OK";
"01.01.2024 14:30:00";0,137;"namìøená data OK";
"01.01.2024 14:45:00";0,201;"namìøená data OK";
"01.01.2024 15:00:00";0,198;"namìøená data OK";
"01.01.2024 15:15:00";0,294;"namìøená data OK";
"01.01.2024 15:30:00";0,136;"namìøená data OK";
"01.01.2024 15:45:00";0,204;"namìøená data OK";
"01.01.2024 16:00:00";1,926;"namìøená data OK";
"01.01.2024 16:15:00";1,961;"namìøená data OK";
"01.01.2024 16:30:00";1,991;"namìøená data OK";
"01.01.2024 16:45:00";2,041;"namìøená data OK";
"01.01.2024 17:00:00";2,195;"namìøená data OK";
"01.01.2024 17:15:00";5,136;"namìøená data OK";
"01.01.2024 17:30:00";4,725;"namìøená data OK";
"01.01.2024 17:45:00";3,023;"namìøená data OK";
"01.01.2024 18:00:00";1,678;"namìøená data OK";
"01.01.2024 18:15:00";1,05;"namìøená data OK";
"01.01.2024 18:30:00";1,356;"namìøená data OK";
"01.01.2024 18:45:00";1,555;"namìøená data OK";
"01.01.2024 19:00:00";2,259;"namìøená data OK";
"01.01.2024 19:15:00";1,597;"namìøená data OK";
"01.01.2024 19:30:00";1,984;"namìøená data OK";
"01.01.2024 19:45:00";0,755;"namìøená data OK";
"01.01.2024 20:00:00";1,492;"namìøená data OK";
"01.01.2024 20:15:00";1,395;"namìøená data OK";
"01.01.2024 20:30:00";0,528;"namìøená data OK";
"01.01.2024 20:45:00";0,311;"namìøená data OK";
"01.01.2024 21:00:00";0,233;"namìøená data OK";
"01.01.2024 21:15:00";0,215;"namìøená data OK";
"01.01.2024 21:30:00";0,226;"namìøená data OK";
"01.01.2024 21:45:00";0,252;"namìøená data OK";
"01.01.2024 22:00:00";0,26;"namìøená data OK";
"01.01.2024 22:15:00";0,218;"namìøená data OK";
"01.01.2024 22:30:00";0,236;"namìøená data OK";
"01.01.2024 22:45:00";0,293;"namìøená data OK";
"01.01.2024 23:00:00";0,236;"namìøená data OK";
"01.01.2024 23:15:00";0,461;"namìøená data OK";
"01.01.2024 23:30:00";0,19;"namìøená data OK";
"01.01.2024 23:45:00";0,258;"namìøená data OK";
"01.01.2024 24:00:00";0,254;"namìøená data OK";
"02.01.2024 00:15:00";0,17;"namìøená data OK";
"02.01.2024 00:30:00";0,19;"namìøená data OK";
"02.01.2024 00:45:00";0,139;"namìøená data OK";
"02.01.2024 01:00:00";0,173;"namìøená data OK";
"02.01.2024 01:15:00";0,13;"namìøená data OK";
"02.01.2024 01:30:00";0,166;"namìøená data OK";
"02.01.2024 01:45:00";0,123;"namìøená data OK";
"02.01.2024 02:00:00";0,165;"namìøená data OK";
"02.01.2024 02:15:00";0,119;"namìøená data OK";
"02.01.2024 02:30:00";0,547;"namìøená data OK";
"02.01.2024 02:45:00";0,191;"namìøená data OK";
"02.01.2024 03:00:00";0,166;"namìøená data OK";
"02.01.2024 03:15:00";0,117;"namìøená data OK";
"02.01.2024 03:30:00";0,165;"namìøená data OK";
"02.01.2024 03:45:00";0,118;"namìøená data OK";
"02.01.2024 04:00:00";0,164;"namìøená data OK";
"02.01.2024 04:15:00";0,117;"namìøená data OK";
"02.01.2024 04:30:00";0,165;"namìøená data OK";
"02.01.2024 04:45:00";0,116;"namìøená data OK";
"02.01.2024 05:00:00";0,165;"namìøená data OK";
"02.01.2024 05:15:00";0,117;"namìøená data OK";
"02.01.2024 05:30:00";0,165;"namìøená data OK";
"02.01.2024 05:45:00";0,118;"namìøená data OK";
"02.01.2024 06:00:00";0,167;"namìøená data OK";
"02.01.2024 06:15:00";0,119;"namìøená data OK";
"02.01.2024 06:30:00";1,845;"namìøená data OK";
"02.01.2024 06:45:00";2,763;"namìøená data OK";
"02.01.2024 07:00:00";2,958;"namìøená data OK";
"02.01.2024 07:15:00";2,897;"namìøená data OK";
"02.01.2024 07:30:00";2,467;"namìøená data OK";
"02.01.2024 07:45:00";2,124;"namìøená data OK";
"02.01.2024 08:00:00";2,15;"namìøená data OK";
"02.01.2024 08:15:00";2,739;"namìøená data OK";
"02.01.2024 08:30:00";3,161;"namìøená data OK";
"02.01.2024 08:45:00";2,165;"namìøená data OK";
"02.01.2024 09:00:00";2,128;"namìøená data OK";
"02.01.2024 09:15:00";2,03;"namìøená data OK";
"02.01.2024 09:30:00";0,491;"namìøená data OK";
"02.01.2024 09:45:00";0,276;"namìøená data OK";
"02.01.2024 10:00:00";0,339;"namìøená data OK";
"02.01.2024 10:15:00";0,291;"namìøená data OK";
"02.01.2024 10:30:00";0,229;"namìøená data OK";
"02.01.2024 10:45:00";0,962;"namìøená data OK";
"02.01.2024 11:00:00";1,235;"namìøená data OK";
"02.01.2024 11:15:00";1,176;"namìøená data OK";
"02.01.2024 11:30:00";2,081;"namìøená data OK";
"02.01.2024 11:45:00";2,021;"namìøená data OK";
"02.01.2024 12:00:00";2,04;"namìøená data OK";
"02.01.2024 12:15:00";2,121;"namìøená data OK";
"02.01.2024 12:30:00";2,858;"namìøená data OK";
"02.01.2024 12:45:00";2,968;"namìøená data OK";
"02.01.2024 13:00:00";1,731;"namìøená data OK";
"02.01.2024 13:15:00";0,298;"namìøená data OK";
"02.01.2024 13:30:00";0,317;"namìøená data OK";
"02.01.2024 13:45:00";0,399;"namìøená data OK";
"02.01.2024 14:00:00";0,375;"namìøená data OK";
"02.01.2024 14:15:00";0,339;"namìøená data OK";
"02.01.2024 14:30:00";0,252;"namìøená data OK";
"02.01.2024 14:45:00";0,163;"namìøená data OK";
"02.01.2024 15:00:00";2,173;"namìøená data OK";
"02.01.2024 15:15:00";2,886;"namìøená data OK";
"02.01.2024 15:30:00";4,803;"namìøená data OK";
"02.01.2024 15:45:00";2,938;"namìøená data OK";
"02.01.2024 16:00:00";2,07;"namìøená data OK";
"02.01.2024 16:15:00";2,434;"namìøená data OK";
"02.01.2024 16:30:00";1,821;"namìøená data OK";
"02.01.2024 16:45:00";0,512;"namìøená data OK";
"02.01.2024 17:00:00";0,299;"namìøená data OK";
"02.01.2024 17:15:00";3,679;"namìøená data OK";
"02.01.2024 17:30:00";3,698;"namìøená data OK";
"02.01.2024 17:45:00";3,674;"namìøená data OK";
"02.01.2024 18:00:00";3,959;"namìøená data OK";
"02.01.2024 18:15:00";4,134;"namìøená data OK";
"02.01.2024 18:30:00";5,561;"namìøená data OK";
"02.01.2024 18:45:00";5,508;"namìøená data OK";
"02.01.2024 19:00:00";6,733;"namìøená data OK";
"02.01.2024 19:15:00";6,222;"namìøená data OK";
"02.01.2024 19:30:00";3,01;"namìøená data OK";
"02.01.2024 19:45:00";3,05;"namìøená data OK";
"02.01.2024 20:00:00";1,867;"namìøená data OK";
"02.01.2024 20:15:00";0,836;"namìøená data OK";
"02.01.2024 20:30:00";0,86;"namìøená data OK";
"02.01.2024 20:45:00";0,829;"namìøená data OK";
"02.01.2024 21:00:00";0,866;"namìøená data OK";
"02.01.2024 21:15:00";0,791;"namìøená data OK";
"02.01.2024 21:30:00";0,743;"namìøená data OK";
"02.01.2024 21:45:00";0,752;"namìøená data OK";
"02.01.2024 22:00:00";0,732;"namìøená data OK";
"02.01.2024 22:15:00";1,197;"namìøená data OK";
"02.01.2024 22:30:00";0,65;"namìøená data OK";
"02.01.2024 22:45:00";0,278;"namìøená data OK";
"02.01.2024 23:00:00";0,28;"namìøená data OK";
"02.01.2024 23:15:00";0,265;"namìøená data OK";
"02.01.2024 23:30:00";0,267;"namìøená data OK";
"02.01.2024 23:45:00";0,198;"namìøená data OK";
"02.01.2024 24:00:00";0,257;"namìøená data OK";
"03.01.2024 00:15:00";0,159;"namìøená data OK";
"03.01.2024 00:30:00";0,134;"namìøená data OK";
"03.01.2024 00:45:00";0,139;"namìøená data OK";
"03.01.2024 01:00:00";0,133;"namìøená data OK";
"03.01.2024 01:15:00";0,143;"namìøená data OK";
"03.01.2024 01:30:00";0,131;"namìøená data OK";
"03.01.2024 01:45:00";0,146;"namìøená data OK";
"03.01.2024 02:00:00";0,129;"namìøená data OK";
"03.01.2024 02:15:00";0,155;"namìøená data OK";
"03.01.2024 02:30:00";0,124;"namìøená data OK";
"03.01.2024 02:45:00";0,151;"namìøená data OK";
"03.01.2024 03:00:00";0,368;"namìøená data OK";
"03.01.2024 03:15:00";0,178;"namìøená data OK";
"03.01.2024 03:30:00";0,114;"namìøená data OK";
"03.01.2024 03:45:00";0,155;"namìøená data OK";
"03.01.2024 04:00:00";0,112;"namìøená data OK";
"03.01.2024 04:15:00";0,159;"namìøená data OK";
